id_order,brand_cat
379754,Apple - tablet
379981,Apple - smartphone
379981,Apple - extended warranty
380035,Apple - smartphone
380072,Pack - pc
380072,Apple - extended warranty
380148,Synology - extended warranty
380148,Wacom - tablet
380295,Apple - smartphone
380357,Apple - smartphone
380380,Apple - laptop
380489,Apple - laptop
380491,Pack - pc
380491,Apple - extended warranty
380514,Pack - pc
380514,Apple - extended warranty
380526,Apple - smartphone
380526,Apple - extended warranty
380701,Apple - smartphone
380741,Dell - display
379736,Apple - smartphone
380841,Pack - pc
381071,Apple - tablet
381070,Apple - smartphone
381220,Apple - smartphone
380411,Apple - tablet
381251,Apple - pc
381251,Pack - pc
381254,Service - service
380411,TP-Link - other
380495,Apple - laptop
381564,Apple - pc
381664,Apple - tablet
381762,Apple - smartwhatch
381814,Pack - pc
381955,Dell - display
382234,Apple - laptop
382234,Pack - pc
382300,Apple - laptop
382327,Apple - smartphone
382336,Apple - smartphone
382428,Apple - smartphone
382428,Apple - extended warranty
382457,Apple - smartphone
382501,Apple - smartphone
382511,Apple - smartphone
382520,Apple - tablet
382633,Apple - smartphone
382633,Apple - extended warranty
382704,Apple - laptop
382775,Apple - tablet
382775,Apple - smartphone
382806,Apple - smartphone
382820,Apple - laptop
382824,Apple - laptop
382824,Apple - extended warranty
382840,Apple - smartphone
382927,Apple - smartphone
382927,Apple - extended warranty
381220,Apple - extended warranty
382962,Apple - tablet
383007,Apple - smartphone
383007,Apple - extended warranty
383025,Service - service
381573,Apple - laptop
383213,Apple - smartphone
383213,Apple - extended warranty
383299,Apple - smartphone
383299,Apple - extended warranty
383334,Apple - tablet
383335,Apple - laptop
383480,Apple - laptop
383533,Pack - pc
383586,Pack - pc
383681,Apple - smartphone
383727,Apple - smartphone
383964,Apple - tablet
384086,Apple - laptop
384099,Sen.se - other
384114,Apple - smartphone
381741,Apple - laptop
384252,Philips - other
382356,Pack - pc
382356,Unknown - Unknown
384342,Apple - smartphone
384370,Apple - smartphone
384370,Apple - extended warranty
384372,Apple - smartphone
384372,Apple - extended warranty
384374,Apple - pc
384342,Apple - extended warranty
384401,Apple - smartphone
258985,Pack - pc
384463,Apple - tablet
384503,Apple - smartphone
384533,Apple - laptop
384544,Apple - smartphone
384545,Apple - smartphone
384597,Apple - smartphone
384613,Unknown - Unknown
383586,Apple - extended warranty
379903,Apple - extended warranty
384657,Apple - extended warranty
384670,Apple - smartphone
384711,Apple - smartphone
375930,Unknown - Unknown
384826,Polaroid - printer
384842,Apple - laptop
384924,Apple - smartphone
364870,Unknown - Unknown
370305,Unknown - Unknown
370044,Unknown - Unknown
366757,Unknown - Unknown
366865,Unknown - Unknown
367037,Unknown - Unknown
367245,Unknown - Unknown
367494,Unknown - Unknown
371829,Unknown - Unknown
371773,Unknown - Unknown
375459,Unknown - Unknown
376461,Unknown - Unknown
379064,Unknown - Unknown
379543,Unknown - Unknown
378812,Unknown - Unknown
380380,Unknown - Unknown
381814,Unknown - Unknown
382234,Unknown - Unknown
381573,Unknown - Unknown
382704,Unknown - Unknown
382820,Unknown - Unknown
383552,Unknown - Unknown
380841,Unknown - Unknown
